id,title,author_byline,publisher,canonical_https_url,original_publication_date,modified_date,retrieved_date,date_evidence_location,language,topic,source_class,access_licensing_robots_paywall_note,permitted_ingestion_mode,why_it_matters
CR-001,"'We willen impact hebben, een echte beweging in gang zetten'","Walter van Hulst","ManagementSite","https://www.managementsite.nl/rebelleren-tegen-bedrijfscultuur-van-command-en-control","2017-09-05","","2026-08-13","Publisher page header shows 5 sep. '17; author line also repeats date","nl","founding story; command-and-control critique","independent","Public publisher page; no paywall observed; standard publisher copyright; robots policy must be rechecked immediately before any fetch","Metadata + canonical link + original concise synopsis only; no full-text copy","Early independent interview documents the founders' motivations and the movement's intended impact."
CR-002,"Wees eens rebels op je werk","Annemiek Leclaire","NRC","https://www.nrc.nl/nieuws/2017/11/30/wees-eens-rebels-op-je-werk-a1583160","2017-11-30","","2026-08-13","Publisher page metadata block says Gepubliceerd op 30 november 2017","nl","autonomy; work happiness; founder profile","independent","Archive article; subscription/login controls present and robots denied the audit bot; do not fetch or ingest article text","Metadata + canonical link + original concise synopsis only; never bypass archive/paywall/robots","A mainstream Dutch profile provides independent context on the early autonomy thesis and team."
CR-003,"Advice From The CIA: How To Sabotage Your Workplace","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/cia-field-manual","2019-04-03","","2026-08-13","Article header line states Written by Joost Minnaar April 03, 2019","en","bureaucracy; productivity; management anti-patterns","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A memorable anti-pattern lens connects bureaucracy and procedural drag to avoidable productivity loss."
CR-004,"How To Organize A Large Company Without Middle Management","Joost Minnaar","Corporate Rebels","https://www.corporate-rebels.com/blog/how-to-organize-a-large-organization-without-middle-management","2019-11-06","","2026-08-13","Article header states Written by Joost Minnaar November 06, 2019","en","self-management; scale; organizational design","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A research-led treatment of large-scale self-management anchors the core organization-design thesis."
CR-005,"The Corporate Rebel 8: Trends to take organizations into the future of work","Designit","Designit / Matters on Medium","https://medium.com/designit-global/the-corporate-rebel-8-trends-to-take-organizations-into-the-future-of-work-bd3e3542a2f1","2020-02-26","","2026-08-13","Publisher page header shows Designit and Feb 26, 2020","en","eight trends; organizational change; design","independent","Public page; no member-only gate observed; Medium robots explicitly disallows GPTBot, so automated ingestion is prohibited unless policy changes or permission is obtained","Manual metadata + canonical link + original concise synopsis only; no automated fetch and no page-body copy","Independent workshop coverage summarizes the eight trends and shows how an external design practice interpreted them."
CR-006,"Rebellen met een groot hart","Dirk Koppes","Intermediair","https://www.intermediair.nl/persoonlijke-groei/ambitie/rebellen-met-een-groot-hart","2020-03-05","","2026-08-13","Publisher page header lists Dirk Koppes and 5 maart 2020","nl","founder profile; progressive workplaces; book","independent","Public page; no paywall observed in audit; standard publisher copyright; robots policy must be rechecked immediately before any fetch","Metadata + canonical link + original concise synopsis only; no full-text copy","A substantial independent profile traces the founders' journey and tests their ideas through interview questions."
CR-007,"'Pioniers geven medewerkers hun vrijheid terug'","Peter Spijker","Managementboek.nl","https://www.managementboek.nl/magazine/interview/10065/joost-minnaar-en-pim-de-morree-pioniers-geven-medewerkers-hun-vrijheid-terug","2020-06-24","","2026-08-13","Publisher page byline states Peter Spijker | 24 juni 2020","nl","book interview; autonomy; progressive organizations","independent","Public page; no paywall observed; standard publisher copyright; robots policy must be rechecked immediately before any fetch","Metadata + canonical link + original concise synopsis only; no full-text copy","The interview records which pioneers and structural freedoms the founders considered most consequential at book launch."
CR-008,"Feedback At Netflix: 4 Powerful Guidelines","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/feedback-at-netflix","2020-12-05","","2026-08-13","Article header states Written by Pim de Morree December 05, 2020","en","feedback; candor; culture","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A practical culture example turns candor into explicit norms for giving and receiving feedback."
CR-009,"After 5 Years of Corporate Rebels: Where Are We?","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/where-are-we-at","2021-05-01","","2026-08-13","Article header states Written by Pim de Morree May 01, 2021","en","company history; mission; growth","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A first-party five-year retrospective provides a dated checkpoint on mission, reach, and strategic direction."
CR-012,"Work 10x Smarter With One Magic Word: Asynchronicity","Pim de Morree","Corporate Rebels","https://www.corporate-rebels.com/blog/asynchronicity","2022-11-02","","2026-08-13","Article header states Written by Pim de Morree November 02, 2022","en","asynchronous work; remote work; productivity","official","Public article; no paywall observed; standard site copyright; robots status requires pre-ingestion verification","Metadata + canonical link + original concise synopsis only; no page-body copy","A clear explanation of asynchronous work links autonomy to documentation, focus, and reduced coordination cost."
